Timestamp,SpotPrice
Tue Oct 02 2018 17:52:55 GMT+0530 (IST),1.743400
Tue Oct 02 2018 17:52:12 GMT+0530 (IST),0.067000
Tue Oct 02 2018 17:52:09 GMT+0530 (IST),0.036400
Tue Oct 02 2018 17:27:33 GMT+0530 (IST),0.851000
Tue Oct 02 2018 17:19:08 GMT+0530 (IST),1.187100
Tue Oct 02 2018 17:05:55 GMT+0530 (IST),0.050100
Tue Oct 02 2018 17:05:06 GMT+0530 (IST),0.058800
Tue Oct 02 2018 17:02:47 GMT+0530 (IST),0.291800
Tue Oct 02 2018 17:02:03 GMT+0530 (IST),0.677000
Tue Oct 02 2018 16:53:51 GMT+0530 (IST),0.739700
Tue Oct 02 2018 16:53:50 GMT+0530 (IST),0.266300
Tue Oct 02 2018 16:53:46 GMT+0530 (IST),0.278400
Tue Oct 02 2018 16:53:28 GMT+0530 (IST),0.090100
Tue Oct 02 2018 16:45:05 GMT+0530 (IST),0.330300
Tue Oct 02 2018 16:45:05 GMT+0530 (IST),0.065200
Tue Oct 02 2018 16:45:04 GMT+0530 (IST),0.692000
Tue Oct 02 2018 16:36:42 GMT+0530 (IST),0.339700
Tue Oct 02 2018 16:28:21 GMT+0530 (IST),0.327500
Tue Oct 02 2018 16:20:52 GMT+0530 (IST),0.948500
Tue Oct 02 2018 16:20:03 GMT+0530 (IST),0.068600
Tue Oct 02 2018 16:05:45 GMT+0530 (IST),0.207000
Tue Oct 02 2018 16:05:14 GMT+0530 (IST),26.688000
Tue Oct 02 2018 16:04:33 GMT+0530 (IST),0.030800
Tue Oct 02 2018 16:03:34 GMT+0530 (IST),0.308300
Tue Oct 02 2018 16:02:46 GMT+0530 (IST),1.710300
Tue Oct 02 2018 15:46:37 GMT+0530 (IST),0.131800
Tue Oct 02 2018 15:38:52 GMT+0530 (IST),0.662300
Tue Oct 02 2018 15:38:21 GMT+0530 (IST),1.056400
Tue Oct 02 2018 15:30:32 GMT+0530 (IST),0.057700
Tue Oct 02 2018 15:21:52 GMT+0530 (IST),0.050000
Tue Oct 02 2018 15:21:32 GMT+0530 (IST),0.138000
Tue Oct 02 2018 15:13:32 GMT+0530 (IST),1.562700
Tue Oct 02 2018 15:13:10 GMT+0530 (IST),0.264500
Tue Oct 02 2018 15:13:09 GMT+0530 (IST),0.062400
Tue Oct 02 2018 15:06:58 GMT+0530 (IST),13.200000
Tue Oct 02 2018 15:05:57 GMT+0530 (IST),0.035600
Tue Oct 02 2018 15:05:18 GMT+0530 (IST),1.023000
Tue Oct 02 2018 15:05:08 GMT+0530 (IST),0.141400
Tue Oct 02 2018 15:05:06 GMT+0530 (IST),0.046800
Tue Oct 02 2018 15:04:51 GMT+0530 (IST),1.183600
Tue Oct 02 2018 14:56:38 GMT+0530 (IST),0.291800
Tue Oct 02 2018 14:48:19 GMT+0530 (IST),0.235100
Tue Oct 02 2018 14:48:07 GMT+0530 (IST),2.516800
Tue Oct 02 2018 14:39:55 GMT+0530 (IST),1.184300
Tue Oct 02 2018 14:39:46 GMT+0530 (IST),0.634000
Tue Oct 02 2018 14:31:37 GMT+0530 (IST),4.309100
Tue Oct 02 2018 14:31:20 GMT+0530 (IST),0.500800
Tue Oct 02 2018 14:14:58 GMT+0530 (IST),0.341000
Tue Oct 02 2018 14:14:52 GMT+0530 (IST),1.251800
Tue Oct 02 2018 14:14:47 GMT+0530 (IST),1.697600
Tue Oct 02 2018 14:14:38 GMT+0530 (IST),0.082900
Tue Oct 02 2018 14:06:25 GMT+0530 (IST),8.107300
Tue Oct 02 2018 14:05:19 GMT+0530 (IST),0.034000
Tue Oct 02 2018 13:49:33 GMT+0530 (IST),0.337900
Tue Oct 02 2018 13:41:41 GMT+0530 (IST),2.163800
Tue Oct 02 2018 13:33:27 GMT+0530 (IST),0.309000
Tue Oct 02 2018 13:32:59 GMT+0530 (IST),1.083300
Tue Oct 02 2018 13:07:54 GMT+0530 (IST),0.197900
Tue Oct 02 2018 13:07:45 GMT+0530 (IST),0.085400
Tue Oct 02 2018 13:07:11 GMT+0530 (IST),0.500400
Tue Oct 02 2018 12:59:24 GMT+0530 (IST),1.734200
Tue Oct 02 2018 12:51:56 GMT+0530 (IST),0.069200
Tue Oct 02 2018 12:51:32 GMT+0530 (IST),0.072000
Tue Oct 02 2018 12:51:02 GMT+0530 (IST),0.132500
Tue Oct 02 2018 12:42:45 GMT+0530 (IST),0.297900
Tue Oct 02 2018 12:26:39 GMT+0530 (IST),0.088700
Tue Oct 02 2018 12:26:16 GMT+0530 (IST),0.273100
Tue Oct 02 2018 12:18:25 GMT+0530 (IST),1.188100
Tue Oct 02 2018 12:18:06 GMT+0530 (IST),0.396900
Tue Oct 02 2018 12:17:37 GMT+0530 (IST),0.137000
Tue Oct 02 2018 12:06:35 GMT+0530 (IST),4.001400
Tue Oct 02 2018 12:06:25 GMT+0530 (IST),2.000700
Tue Oct 02 2018 12:05:55 GMT+0530 (IST),4.320000
Tue Oct 02 2018 12:05:37 GMT+0530 (IST),1.497600
Tue Oct 02 2018 12:03:16 GMT+0530 (IST),0.223200
Tue Oct 02 2018 11:52:30 GMT+0530 (IST),0.132700
Tue Oct 02 2018 11:52:27 GMT+0530 (IST),0.135300
Tue Oct 02 2018 11:44:31 GMT+0530 (IST),0.036300
Tue Oct 02 2018 11:44:07 GMT+0530 (IST),0.090200
Tue Oct 02 2018 11:35:51 GMT+0530 (IST),0.117900
Tue Oct 02 2018 11:28:08 GMT+0530 (IST),0.136800
Tue Oct 02 2018 11:27:31 GMT+0530 (IST),0.685800
Tue Oct 02 2018 11:05:11 GMT+0530 (IST),0.027800
Tue Oct 02 2018 11:05:01 GMT+0530 (IST),0.235000
Tue Oct 02 2018 11:05:00 GMT+0530 (IST),0.061700
Tue Oct 02 2018 11:02:25 GMT+0530 (IST),0.278100
Tue Oct 02 2018 10:54:10 GMT+0530 (IST),0.272100
Tue Oct 02 2018 10:45:45 GMT+0530 (IST),0.096900
Tue Oct 02 2018 10:45:45 GMT+0530 (IST),0.853200
Tue Oct 02 2018 10:38:09 GMT+0530 (IST),0.049700
Tue Oct 02 2018 10:33:44 GMT+0530 (IST),0.066600
Tue Oct 02 2018 10:29:48 GMT+0530 (IST),0.947500
Tue Oct 02 2018 10:29:00 GMT+0530 (IST),0.264200
Tue Oct 02 2018 10:20:46 GMT+0530 (IST),0.340800
Tue Oct 02 2018 10:05:44 GMT+0530 (IST),0.006300
Tue Oct 02 2018 10:05:15 GMT+0530 (IST),0.684000
Tue Oct 02 2018 10:04:34 GMT+0530 (IST),0.511500
Tue Oct 02 2018 09:55:59 GMT+0530 (IST),0.300500
Tue Oct 02 2018 09:55:30 GMT+0530 (IST),0.343300
Tue Oct 02 2018 09:47:51 GMT+0530 (IST),0.662600
Tue Oct 02 2018 09:47:38 GMT+0530 (IST),0.738400
Tue Oct 02 2018 09:39:06 GMT+0530 (IST),2.528100
Tue Oct 02 2018 09:38:59 GMT+0530 (IST),0.141100
Tue Oct 02 2018 09:38:52 GMT+0530 (IST),0.679500
Tue Oct 02 2018 09:22:43 GMT+0530 (IST),1.055500
Tue Oct 02 2018 09:22:05 GMT+0530 (IST),1.185600
Tue Oct 02 2018 09:13:56 GMT+0530 (IST),0.470600
Tue Oct 02 2018 09:13:41 GMT+0530 (IST),0.131500
Tue Oct 02 2018 09:13:40 GMT+0530 (IST),0.328700
Tue Oct 02 2018 09:10:17 GMT+0530 (IST),2.001600
Tue Oct 02 2018 09:05:18 GMT+0530 (IST),1.710300
Tue Oct 02 2018 09:05:10 GMT+0530 (IST),0.013900
Tue Oct 02 2018 09:02:46 GMT+0530 (IST),1.732800
Tue Oct 02 2018 08:57:22 GMT+0530 (IST),0.057400
Tue Oct 02 2018 08:57:05 GMT+0530 (IST),0.307700
Tue Oct 02 2018 08:49:32 GMT+0530 (IST),1.111500
Tue Oct 02 2018 08:48:46 GMT+0530 (IST),0.336500
Tue Oct 02 2018 08:48:44 GMT+0530 (IST),0.289400
Tue Oct 02 2018 08:40:56 GMT+0530 (IST),1.185400
Tue Oct 02 2018 08:11:04 GMT+0530 (IST),0.828000
Tue Oct 02 2018 08:05:01 GMT+0530 (IST),0.024500
Tue Oct 02 2018 08:03:16 GMT+0530 (IST),0.500900
Tue Oct 02 2018 07:59:07 GMT+0530 (IST),1.610400
