Timestamp,SpotPrice
Mon Sep 10 2018 07:25:45 GMT+0530 (IST),7.602700
Mon Sep 10 2018 02:03:33 GMT+0530 (IST),7.602700
Sun Sep 09 2018 18:40:22 GMT+0530 (IST),7.601900
Sun Sep 09 2018 11:24:58 GMT+0530 (IST),7.655000
Sun Sep 09 2018 05:59:39 GMT+0530 (IST),7.688200
Sat Sep 08 2018 23:51:34 GMT+0530 (IST),7.718400
Sat Sep 08 2018 17:18:40 GMT+0530 (IST),7.723300
Sat Sep 08 2018 15:25:44 GMT+0530 (IST),7.717000
Sat Sep 08 2018 11:43:44 GMT+0530 (IST),7.717000
Sat Sep 08 2018 04:13:03 GMT+0530 (IST),7.715600
Fri Sep 07 2018 21:39:24 GMT+0530 (IST),7.763800
Fri Sep 07 2018 16:30:13 GMT+0530 (IST),7.773000
Fri Sep 07 2018 11:37:26 GMT+0530 (IST),7.733300
Fri Sep 07 2018 06:45:22 GMT+0530 (IST),7.649800
Fri Sep 07 2018 00:48:57 GMT+0530 (IST),7.520900
Thu Sep 06 2018 22:48:32 GMT+0530 (IST),7.530900
Thu Sep 06 2018 20:14:43 GMT+0530 (IST),7.530900
Thu Sep 06 2018 14:48:59 GMT+0530 (IST),7.557700
Thu Sep 06 2018 09:14:32 GMT+0530 (IST),7.558800
Thu Sep 06 2018 02:57:57 GMT+0530 (IST),7.548100
Wed Sep 05 2018 21:49:07 GMT+0530 (IST),7.527400
Wed Sep 05 2018 14:51:16 GMT+0530 (IST),7.594600
Wed Sep 05 2018 09:24:44 GMT+0530 (IST),7.608600
Wed Sep 05 2018 03:42:30 GMT+0530 (IST),7.648100
Wed Sep 05 2018 00:02:07 GMT+0530 (IST),7.683600
Tue Sep 04 2018 20:44:31 GMT+0530 (IST),7.683600
Tue Sep 04 2018 14:19:27 GMT+0530 (IST),7.762900
Tue Sep 04 2018 08:03:25 GMT+0530 (IST),7.809900
Tue Sep 04 2018 02:48:36 GMT+0530 (IST),7.917800
Mon Sep 03 2018 19:50:57 GMT+0530 (IST),7.975900
Mon Sep 03 2018 13:59:48 GMT+0530 (IST),7.905500
Mon Sep 03 2018 07:19:02 GMT+0530 (IST),7.890000
Mon Sep 03 2018 01:02:55 GMT+0530 (IST),7.927500
Sun Sep 02 2018 19:28:18 GMT+0530 (IST),7.967500
Sun Sep 02 2018 14:19:17 GMT+0530 (IST),8.012300
Sun Sep 02 2018 06:47:52 GMT+0530 (IST),7.896800
Sun Sep 02 2018 02:03:15 GMT+0530 (IST),7.843100
Sat Sep 01 2018 18:40:32 GMT+0530 (IST),7.886500
Sat Sep 01 2018 12:32:48 GMT+0530 (IST),7.951000
Sat Sep 01 2018 07:39:35 GMT+0530 (IST),8.003000
Sat Sep 01 2018 01:24:15 GMT+0530 (IST),8.045200
Fri Aug 31 2018 18:43:07 GMT+0530 (IST),7.951000
Fri Aug 31 2018 12:01:24 GMT+0530 (IST),8.000100
Fri Aug 31 2018 06:18:56 GMT+0530 (IST),8.023100
Thu Aug 30 2018 23:32:54 GMT+0530 (IST),8.021900
Thu Aug 30 2018 18:21:00 GMT+0530 (IST),7.951000
Thu Aug 30 2018 13:20:18 GMT+0530 (IST),7.915900
Thu Aug 30 2018 06:55:55 GMT+0530 (IST),7.924000
Thu Aug 30 2018 02:12:08 GMT+0530 (IST),7.948900
Wed Aug 29 2018 20:12:47 GMT+0530 (IST),7.946100
Wed Aug 29 2018 15:19:56 GMT+0530 (IST),7.979300
Wed Aug 29 2018 08:30:09 GMT+0530 (IST),7.994400
Wed Aug 29 2018 05:34:37 GMT+0530 (IST),8.027700
Wed Aug 29 2018 01:48:54 GMT+0530 (IST),8.027700
Tue Aug 28 2018 18:33:53 GMT+0530 (IST),8.072100
Tue Aug 28 2018 13:58:50 GMT+0530 (IST),7.983200
Tue Aug 28 2018 07:08:40 GMT+0530 (IST),8.033800
Mon Aug 27 2018 23:48:34 GMT+0530 (IST),8.045000
Mon Aug 27 2018 17:21:23 GMT+0530 (IST),8.070700
Mon Aug 27 2018 10:48:05 GMT+0530 (IST),7.968800
Mon Aug 27 2018 04:17:53 GMT+0530 (IST),8.016300
